Добавлено объектов: 229
Всего объектов: 565
Фотографии: 627

Годы указаны по датам публикаций, а не по подтверждённым актам сдачи.
Публикации без достаточной информации, личные и рекламные записи не добавлены автоматически.

2019 | Северная Осетия - Алания | Пришкольный стадион города Владикавказ с покрытием CRUMB и профессиональной разметкой | 4 фото
2019 | Северная Осетия - Алания | А у нас юбилей! | 8 фото
2019 | Красноярский край | Красноярский край, Норильск - 49й регион Российской Федерации, где наши специалисты выполняли работы по монтажу покрытия! В дворце спорта «Арктика» уложено профессиональное бесшовное покрытие EPUFLOOR BM и EPUFLOOR BSW, рекомендованное и се | 3 фото
2019 | Нижегородская область | А мы ещё работаем! Покрытие CRUMB на детских игровых площадках в ЖК «Анкудиновский парк» | 7 фото
2019 | Нижегородская область | Закончены работы по монтажу покрытия в п.Вахтан Шахунского района Нижегородской области | 3 фото
2019 | Нижегородская область | Закончены работы по строительству спортивной площадки в п.Кудьма Нижегородской области! Выполнены работы по подготовке основания, устройству спортивного покрытия CRUMB, монтажу игрового оборудования и устройство ограждения | 8 фото
2019 | Нижегородская область | Травмобезопасное покрытие из резиновой крошки CRUMB толщиной 10мм на детской площадке по ул.Чаадаева г.Нижний Новгород | 6 фото
2019 | Нижегородская область | Покрытие CRUMB спортивной площадки в ДС «Колосок» г.Семенов | 4 фото
2019 | Нижегородская область | Травмобезопасное покрытие из резиновой крошки CRUMB толщиной 40мм детских площадок и поставка и монтаж детского игрового оборудования в г.Шахунья Нижегородской области! Совместный проект с компанией «Солнечный город» | 8 фото
2019 | Нижегородская область | Покрытие спортивных площадок в детских садах Нижнего Новгорода | 4 фото
2019 | Нижегородская область | Подходят к концу работы по устройству двухслойного покрытия CRUMB premium на спортивной площадке в Парке им.А.Гайдара г.Арзамас по программе «Формирование комфортной городской среды» | 10 фото
2019 | Нижегородская область | Закончены работы по монтажу покрытия из резиновой крошки CRUMB standart на детской площадке в КП Каменки Нижегородской области | 4 фото
2019 | Нижегородская область | Монтаж спортивного покрытия CRUMB standart на детской площадке в п.Шатовка Арзамасского района Нижегородской области | 4 фото
2019 | Нижегородская область | Бесшовное Покрытие CRUMB идеально подходит как для детских игровых площадок, так и для спортивных площадок различного назначения! Детская площадка в ЖК «Октава» г.Нижнего Новгорода | 3 фото
2019 | Нижегородская область | Закончены работы по монтажу спортивного покрытия CRUMB standart на хоккейной коробке в ЖК Октава г.Нижнего Новгорода | 5 фото
2019 | Нижегородская область | Закончены работы по строительству спортивной площадки «под ключ» в с.Чернышиха Кстовского Района Нижегородской области | 4 фото
2019 | Нижегородская область | Приятно принять участие в строительстве новой школы! Монтаж покрытия CRUMB standart на детской площадке строящейся школы в п.Суроватиха Нижегородской области | 3 фото
2019 | Нижегородская область | В свободное время занимаемся монтажом покрытия из резиновой крошки на входных группах, пандусах, палубах, дорожках! Входная группа дома в ЖК «Зенит» г.Нижнего Новгорода | 2 фото
2019 | Нижегородская область | Закончены работы по монтажу травмобезопасного покрытия CRUMB standart на детской площадке на Казанском Шоссе г.Нижнего Новгорода | 5 фото
2019 | Нижегородская область | Закончен монтаж спортивного покрытия CRUMB standart на беговой дорожке и баскетбольной площадке строящейся школы в п.Выездное Арзамасского района Нижегородской области | 8 фото
2019 | Нижегородская область | Закончены работы по монтажу покрытия CRUMB standart на универсальной спортивной площадке в городе Дзержинск Нижегородской области | 4 фото
2019 | Нижегородская область | Монтаж покрытия CRUMB standart на площадке с уличными тренажёрами в микрорайоне Цветы г.Нижнего Новгорода | 4 фото
2018 | Нижегородская область | Закончены работы по монтажу покрытия CRUMB colour в рамках благоустройства «Парка Дубки» в Нижнем Новгороде | 5 фото
2018 | Нижегородская область | Закончены работы на очередной спортивной площадке в Нижегородской области, «Зелёный город» | 3 фото
